Sport,Family,1614,1618,2350,All Stores
SURFING,MEN'S INTERMEDIATE BOARDSHORTS,0.6451612903225806,0.7564102564102564,0.3142857142857143,0.6285714285714286
Others,TRAVEL AND STABLE BOOTS,0,1.0,0,1.0
DIVING,"""FRD FINS",0.0,0.0,0.0,0.0
DIVING,"""SNK FINS",0.0,0.0,0.0,0.0
DIVING,SCD SUITS 16/24бу BEG,1.0,0,0,1.0
BOXING,BOXING GLOVES,1.0,0.8307692307692308,0.6578947368421053,0.7966101694915254
SURFING,BOY'S BOARDSHORTS,0.816793893129771,0.8611111111111112,0.5806451612903226,0.7922848664688428
CYCLING,MEN WARM WEATHER INTE ADV ST MTB APPAREL,1.0,0.7368421052631579,0.23809523809523808,0.6702127659574468
CROSSTRAIN,FREE WEIGHTS AND EQUIPMENT,0.7894736842105263,0.5925925925925926,0.0625,0.5161290322580645
CYCLING,BIKE GEARING,0,0.08333333333333333,0.0,0.04
CYCLING,BIKE BRAKE,1.0,0.7777777777777778,0.0,0.47058823529411764
Others,HUNTING CHAPS,0,1.0,0,1.0
CLIMBING,MOUNTAINEERING CLOTHING,1.0,0.7641509433962265,0.24242424242424243,0.6894409937888198
SURFING,FLYING DISCS / BOOMERANG,0.7142857142857143,0.5135135135135135,0.10526315789473684,0.5054945054945055
SKATE/ROLLER,BAGS AND ACCESORIES,0.4482758620689655,0.2682926829268293,0.03571428571428571,0.25510204081632654
CYCLING,CYCLIST VISIBILITY ACCESS,0,0.42857142857142855,0.5,0.45454545454545453
SURFING,MEN'S FOOTWEAR,0.7518796992481203,0.6596858638743456,0.18556701030927836,0.5795724465558195
SURFING,WOMEN'S FOOTWEAR,0.7966101694915254,0.6948051948051948,0.20454545454545456,0.6083333333333333
Others,BODYPROTECTOR,1.0,0.8571428571428571,0,0.8888888888888888
Others,WHIPS/SPURS,1.0,1.0,0,1.0
Others,LONG RIDING BOOTS & ACCESSORIES,1.0,0.9090909090909091,0.0,0.851063829787234
FOOTBALL,ACCESSORIES TEAM SPORT,0.5405405405405406,0.38461538461538464,0.0,0.35714285714285715
Others,"""SOFT TIP DARTS",0.0,0.0,0.0,0.0
BASKETBALL,MAN BASKETBALL OUTFIT,0.8709055876685935,0.8335974643423137,0.27450980392156865,0.7636632200886263
CLIMBING,CLIMBING BAGPACK,0,0.75,0.0,0.6
CLIMBING,CHALK & HANDCARE,1.0,0.6842105263157895,0.4,0.6
SWIMMING,SWIMMING MATERIAL,0.56,0.5689655172413793,0.09375,0.45714285714285713
TRIATHLON,RECOVERY & PREPARATION ACCESSORIES,0.5714285714285714,0.5277777777777778,0.2972972972972973,0.45544554455445546
Others,GROOMING,1.0,0.36363636363636365,0,0.4166666666666667
SURFING,JUNIOR'S SURF FOOTWEAR,0.8766233766233766,0.7823529411764706,0.2708333333333333,0.7
CYCLING,BIKE PUMPS,0.8,0.47058823529411764,0.0,0.35294117647058826
HIKING/TREKKING,"""MOUNTAIN TREKKING BP ACC",0.0,0.0,0.0,0.0
CLIMBING,MOUNTAINEERING & CLIMBING HELMETS,1.0,0.8333333333333334,0.5,0.8181818181818182
SURFING,MEN'S BEGINNER BOARDSHORTS,0.9623655913978495,0.9248366013071896,0.45614035087719296,0.8888888888888888
Others,WARM CLOTHING,0,0.75,0,0.75
SWIMMING,BEGINNER EQUIPEMENT,1.0,0.5,0.0,0.3888888888888889
SURFING,BODYBOARDS AND ACCESSORIES,0.875,0.5,0.5,0.6304347826086957
Others,KITES AND ACCESSORIES,0.6363636363636364,0.631578947368421,0.18181818181818182,0.5121951219512195
KAYAK/SUP,WATERPROOF BAGS,0.75,0.6666666666666666,0.125,0.6022727272727273
Others,CAMO CLOTHING DRY/WET WEATHER,1.0,0.75,0,0.8
KAYAK/SUP,WATERPROOF CONTAINERS,1.0,1.0,0,1.0
BADMINTON,BADMINTON STRINGS,0.45454545454545453,0.45454545454545453,0.0,0.35714285714285715
HIKING/TREKKING,"""BACKPACKING ULTRA COMPACT BAGS",0.0,0.0,0.0,0.0
CLIMBING,CLIMBING GEAR,1.0,0.4583333333333333,0.125,0.46
TRIATHLON,HYDRATION & BEFORE,0.6,0.5,0.5,0.5294117647058824
PILATES,GIRL EDUCATIONAL GYM COLD WEATHER APP,0.9694656488549618,0.9578544061302682,1.0,0.9618320610687023
SWIMMING,GIRL'S SWIMSUITS,0.8898071625344353,0.8483516483516483,0.46875,0.8016359918200409
SWIMMING,BOY'S SWIMSUITS,0.7718120805369127,0.7109826589595376,0.11475409836065574,0.639686684073107
SWIMMING,WOMEN'S SWIMSUITS,0.8414985590778098,0.815442561205273,0.3699421965317919,0.7507136060894386
KAYAK/SUP,"""TRANSPORT",0,0,0.0,0.0
FOOTBALL,AD WARM WEATHER OUTFIT MATCH & TRAINING,0.8493150684931506,0.7229916897506925,0.2949640287769784,0.6944444444444444
SWIMMING,SWIMMING HEADWEARS,0.6666666666666666,0.6037735849056604,0.19117647058823528,0.5119047619047619
Others,ARCHERY DIRECT ORDER CODES,0,0.0,0,0.0
TENNIS,COACH/CLUB EQUIPMENT,0.45454545454545453,0.45454545454545453,0.16666666666666666,0.39285714285714285
SWIMMING,BATHROBES,0.9333333333333333,0.3684210526315789,0.5,0.5769230769230769
SWIMMING,MEN'S SWIMSUITS,0.7879746835443038,0.7049180327868853,0.20114942528735633,0.6379498364231189
SKI,JUNIOR ON PISTE SKIING GLOVES,1.0,0.9647058823529412,1.0,0.9827586206896551
TENNIS,MEN WARM CONDITION RACKET SP APAREL,0.686046511627907,0.7227138643067846,0.28187919463087246,0.6286057692307693
HIKING/TREKKING,INSECTS PROTECTION,1.0,1.0,0.0,0.75
SWIMMING,POOL SHOES,0.6875,0.4968944099378882,0.10638297872340426,0.46475195822454307
Others,"""POLE",0.0,0.0,0,0.0
HIKING/TREKKING,"""MEN MOUNT TREK PADDED JACKET",0.0,0.0,0,0.0
Others,HORSE LEGS/ FOOT PROTECTION,0,1.0,0,1.0
SWIMMING,AQUALEARNING ACCESORIES,0.6233766233766234,0.5813953488372093,0.16981132075471697,0.49537037037037035
HIKING/TREKKING,BASE CAMP MATTRESS,0.6956521739130435,0.5217391304347826,0.1875,0.5
SQUASH,SQUASH RACKETS,0.7727272727272727,0.7142857142857143,0.4,0.6792452830188679
PILATES,EMPTY,1.0,1.0,0,1.0
FITNESS,FITNESS CARDIO BEGINNER WOMAN CLOTHING,0.8150537634408602,0.8173076923076923,0.5151515151515151,0.759046052631579
HIKING/TREKKING,"""HIKING CAMP STOVES",0.0,0.0,0.0,0.0
YOGA,WOMAN YOGA APPAREL,0.8524332810047096,0.8411214953271028,0.16756756756756758,0.7753501400560224
PILATES,WOMAN T SHIRT LEGGING SHORT,0.9037433155080213,0.8981366459627329,0.5864661654135338,0.8330683624801272
Others,"""KNEE PADS MODERN",0.0,0.0,0,0.0
PILATES,GIRL EDUCATIONAL GYM APPAREL,0.8776119402985074,0.8357142857142857,0.5,0.8036322360953462
CYCLING,MEN WARM WEATHER ROAD CYCLING APPAREL,1.0,0.7518796992481203,0.16326530612244897,0.6509433962264151
HIKING/TREKKING,WOMEN NATURE HIKING SHOES,0.8522727272727273,0.7659574468085106,0.25,0.7242990654205608
SKI,SNOWBOARD TOOLS & COVERS,0.8,1.0,0,0.8888888888888888
TABLE_TENNIS,TT FREE POST&NET Standard,0.7142857142857143,0.5714285714285714,0.3333333333333333,0.5882352941176471
SKI,BOY BEGINNER ON PISTE SKIING CLOTHS,0.8918918918918919,0.8157894736842105,0.875,0.8554216867469879
TABLE_TENNIS,TT TABLES BEGINNER,1.0,1.0,0,1.0
SKATE/ROLLER,FREERIDE AND STREET INLINE SKATE,0,0.8695652173913043,0,0.8695652173913043
PILATES,"""MAN GYM",0.0,0.0,0.0,0.0
SURFING,SOLAR SHELTER,1.0,1.0,0,1.0
SKATE/ROLLER,LONGBOARD AND CRUISER,0.5,0.6451612903225806,0.1111111111111111,0.5238095238095238
JOG/RUN,MAN ROAD RUNNING SHOES,0.813953488372093,0.8649789029535865,0.34328358208955223,0.7764932562620424
CYCLING,BIKE STEERING SYSTEM,1.0,0.4444444444444444,0.14285714285714285,0.3888888888888889
CYCLING,MEN ROAD WINDSTOPPER,1.0,0.8181818181818182,0.09090909090909091,0.6521739130434783
FOOTBALL,FUTSAL SHOES JR,0.7454545454545455,0.8064516129032258,0.5,0.7152317880794702
BASKETBALL,DISCOVERY BASKETBALL BALLS & BOARDS,0.6666666666666666,0.64,0.23076923076923078,0.559322033898305
CYCLING,LEARNING BIKES 4-6 YEARLEARNING BIKES S,1.0,0.9,0.2,0.7058823529411765
Others,"""ARCHERY TARGETS",0,0.0,0,0.0
GOLF,MENS MILD WEATHER GOLF CLOTHING,1.0,0.9967105263157895,0.0,0.991044776119403
CYCLING,MTB PEDALS & CLEATS,1.0,0.8888888888888888,0.5,0.7857142857142857
JOG/RUN,ATHLETICS SHOES OR ACCESSORIES,1.0,0.7948717948717948,0.1590909090909091,0.6666666666666666
Others,FLEECE SHEETS,0,1.0,0,1.0
HIKING/TREKKING,MAPS,0,0.0,0,0.0
FOOTBALL,WET PITCH FOOTBALL SHOES,1.0,0,0,1.0
FOOTBALL,JR COLD WEATHER OUTFIT,0.9382716049382716,0.8571428571428571,0.0,0.8461538461538461
BASKETBALL,KIDS BASKETBALL OUTFIT,0.7811550151975684,0.8032407407407407,0.2857142857142857,0.7285223367697594
FOOTBALL,UNDERWEAR TEAM SPORT SENIOR,0.9747899159663865,0.9566666666666667,0.375,0.9395017793594306
Others,WARM GLOVES/BEENIES/HOODS,0,1.0,0,1.0
Others,"""BOWS",0.0,0.0,0,0.0
HIKING/TREKKING,ADULT MOUNTAIN HIKING SUNGLASSES,0.7333333333333333,0.8095238095238095,0.25,0.6754966887417219
CYCLING,BIKE INNER TUBES,0.6666666666666666,0.4375,0.0625,0.2857142857142857
FOOTBALL,UNDERWEAR TEAM SPORT JUNIOR,0.8983050847457628,0.8169014084507042,0.42857142857142855,0.8220640569395018
SKATE/ROLLER,SKATEBOARDS,1.0,0.625,0.1111111111111111,0.5277777777777778
FITNESS,FITNESS CARDIO BEGINNER MAN OUTFIT,0.8548812664907651,0.8742268041237113,0.36363636363636365,0.7897838899803536
JOG/RUN,OCCASIONAL WOMEN JOGGING SHOES,0.9428571428571428,0.9428571428571428,0.1875,0.902027027027027
FOOTBALL,11 FOOTBALL BALLS,0.8275862068965517,0.5483870967741935,0.21428571428571427,0.5945945945945946
JOG/RUN,OCC WOMEN JOG COLD PROTECT TEXTILE,0.6379310344827587,1.0,0,0.8396946564885496
FOOTBALL,AD COLD WEATHER OUTFIT,0.9826086956521739,0.9136690647482014,0.47368421052631576,0.9120879120879121
PILATES,BABY GYM APPAREL,1.0,0.9983739837398374,1.0,0.998719590268886
Others,MEN SPORT WALKING SHOES,0.9886363636363636,0.9236641221374046,0.3333333333333333,0.9254385964912281
CYCLING,COLD WEATHER ROAD CYCLING GLOVES,1.0,1.0,0,1.0
TENNIS,TENNIS STRINGS,0.0,0.0,0.0,0.0
PILATES,BOY EDUCATIONAL GYM COLD WEATHER APP,1.0,0.973384030418251,0,0.9814814814814815
Others,WOMEN HORSE RIDING GLOVES,1.0,0.96,0,0.9655172413793104
